Remaining_Features,RMSE,R2
"['AbsoluteHumidity', 'Distance', 'Particulate', 'ParticulateMax', 'ParticulateMin', 'RelativeHumidity', 'Temperature', 'TemperatureDifference', 'TemperatureMin', 'Time', 'Visibility', 'VisibilityMin']",0.2769010849818619,0.9949688267396809
"['AbsoluteHumidity', 'Distance', 'Particulate', 'ParticulateMax', 'ParticulateMin', 'RelativeHumidity', 'Temperature', 'TemperatureMin', 'Time', 'Visibility', 'VisibilityMin']",0.30561656177215574,0.9938712242670706
"['AbsoluteHumidity', 'Distance', 'Particulate', 'ParticulateMin', 'RelativeHumidity', 'Temperature', 'TemperatureMin', 'Time', 'Visibility', 'VisibilityMin']",0.3052957732011991,0.9938840835792497
"['AbsoluteHumidity', 'Distance', 'Particulate', 'ParticulateMin', 'Temperature', 'TemperatureMin', 'Time', 'Visibility', 'VisibilityMin']",0.3045514535412417,0.9939138687779844
"['AbsoluteHumidity', 'Distance', 'Particulate', 'ParticulateMin', 'Temperature', 'TemperatureMin', 'Visibility', 'VisibilityMin']",0.3962841965475539,0.9896953447794009
"['AbsoluteHumidity', 'Distance', 'Particulate', 'ParticulateMin', 'Temperature', 'Visibility', 'VisibilityMin']",0.39310873740193747,0.9898598272887119
"['AbsoluteHumidity', 'Distance', 'ParticulateMin', 'Temperature', 'Visibility', 'VisibilityMin']",0.39362207694004075,0.9898333269859991
"['Distance', 'ParticulateMin', 'Temperature', 'Visibility', 'VisibilityMin']",0.48754217331058786,0.984402882764363
"['Distance', 'ParticulateMin', 'Temperature', 'Visibility']",0.48514514483206966,0.9845558739485065
"['Distance', 'Temperature', 'Visibility']",0.6702377833933393,0.9705233739347787
"['Distance', 'Visibility']",0.9702110034427635,0.9382335913819592
